[Product Name],Medium,Type,Format,Intended Compatibility,Product Name,User Name,Developer,Author,Publisher,Language,Year,Parts,Original Price,Identifying #,Accession #,Tested [date],Donor,Notes
[Access PC Version 3.0],Software,,3 ½ inch Floppy Disk,PC,Access PC Version 3.0,,Insignia Solution Inc.,,Insignia Solutions Inc.,English,1993,Two 3 ½ inch Floppy Disks,,,2014.09.110,,Keith Moore,
[After Dark],Software,System,3½ - inch Floppy Disk,PC,After Dark,,"Berkeley Systems\, Inc",,"Berkeley Systems\, Inc.",English,1990,3½ -inch Floppy Disk,,,2014.09.82,,Keith Moore,
[Ark Workspace],Software,Productivity,3 ½ inch Floppy Disk,PC,Ark Workspace,,Ark Interface Inc.,,,English,1991,Two 3 ½ inch Floppy Disks,,,2014.09.104,,Keith Moore,
[At Your Service],Software,System,3.5” Floppy Disk,PC,At Your Service,,Bright Star Technology inc.,,Bright Star Technology inc.,English,1991,3 3.5” Floppy Disks,,,2014.09.70,,,
[Budget Booster 1.1.1],Software,Productivity,3 ½ inch Floppy Disk,PC,Budget Booster 1.1.1,Budget Booster 1.1.1,"Sonnet Technologies\, Inc.",,,English,,3 ½ inch Floppy Disk,,,2014.09.106,,Keith Moore,
[CheckIt PRO Deluxe],Software,System,3½” Floppy Disk,PC,CheckIt PRO Deluxe,CheckIt PRO Deluxe,TouchStone Software Corporation,N/A,TouchStone Software Corporation,English,1993,"Case\, Instruction Manual",N/A,N/A,2013.07.427,,Aaron Kuhn,
[DoveFax Utilities Disk],Software,Productivity,3 ½ inch Floppy Disk,PC,DoveFax,,,,Dove Computer Corporation,English,1991,3 ½ inch Floppy Disk,,,2014.09.102,,Keith Moore,
[GlobalFax OCR],Software,Productivity,3½ inch Floppy Disk,PC,GlobalFax OCR,,Global Village Communication,,"Calera Recognition Systems\, Inc.",English,1993,3 3½ inch Floppy Disks,,,2014.09.83,,Keith Moore,
[Institute for Cyber Information- Prototype e-newspaper evaluation],Software,System,cd-rom,PC and Mac,Institute for Cyber Information- Prototype e-newspaper evaluation,Institute for Cyber Information- Prototype e-newspaper evaluation,ICI at Kent State University,N/A,ICI at Kent State University,English,2001,N/A,N/A,N/A,2014.06.24,,Steve Outing,
[interFACE],Software,Productivity,3.5” Floppy Disk,PC,interFACE,,Bright Star Technology inc.,,Bright Star Technology inc.,English,1989,8 3.5” Floppy Disks,,,2014.09.69,,Keith Moore,
[Max Blast Version 1.30],Software,System,3 ½ inch Floppy Disk,PC,Max Blast,,Maxtor,,"Phoenix Technologies\, Inc",English,2002,3 ½ inch Floppy Disk,,,2014.09.109,,Keith Moore,
[Megahertz],Software,System,3.5” Floppy Disk,PC,Megahertz,,,,U.S. Robotics Mobile Communications Corp.,English,1996,3.5” Floppy Disk,,,2014.09.74,,Keith Moore,
[Microsoft MS-DOS 6.22],Software,System,3 ½ inch Floppy Disk,PC,Microsoft MS-DOS 6.22,,Microsoft Corporation,,Microsoft Corporation,English,1994,3 ½ inch Floppy Disk,,,2014.09.154,,Keith Moore,
[Red Hat Boot Diskette],Software,Productivity,3 ½ inch Floppy Disk,PC,Red Hat Boot Diskette,,"Red Hat Software\, inc.",,,English,1998,3 ½ inch Floppy Disk,,,2014.09.108,,Keith Moore,
